camera_name	image_name	target_id	x_image	y_image
camera_0	camera_0_ts_1769095476906909445.jpg	177	1420.197266	955.448730
camera_0	camera_0_ts_1769095476906909445.jpg	189	1491.209961	605.614746
camera_0	camera_0_ts_1769095476906909445.jpg	195	1510.804932	717.981445
camera_0	camera_0_ts_1769095476906909445.jpg	197	1529.791992	832.643738
camera_0	camera_0_ts_1769095476906909445.jpg	201	1545.617310	949.525452
camera_0	camera_0_ts_1769095476906909445.jpg	207	1575.491211	367.857697
camera_0	camera_0_ts_1769095476906909445.jpg	209	1597.936401	476.524963
camera_0	camera_0_ts_1769095476906909445.jpg	215	1619.815063	590.456177
camera_0	camera_0_ts_1769095476906909445.jpg	219	1639.592285	705.422119
camera_0	camera_0_ts_1769095476906909445.jpg	221	1657.277222	821.945374
camera_0	camera_0_ts_1769095476906909445.jpg	225	1670.566040	939.792786
camera_0	camera_0_ts_1769095476906909445.jpg	231	1690.740234	350.957123
camera_0	camera_0_ts_1769095476906909445.jpg	235	1715.602417	460.192963
camera_0	camera_0_ts_1769095476906909445.jpg	237	1739.603882	575.682495
camera_0	camera_0_ts_1769095476906909445.jpg	243	1761.679443	691.922546
camera_0	camera_0_ts_1769095476906909445.jpg	245	1779.910645	808.963257
camera_0	camera_0_ts_1769095476906909445.jpg	249	1794.354614	927.449646
camera_0	camera_0_ts_1769095476906909445.jpg	263	1842.120361	444.003479
camera_0	camera_0_ts_1769095476906909445.jpg	267	1865.779541	558.919739
camera_0	camera_0_ts_1769095477407069445.jpg	135	1223.982422	423.523987
camera_0	camera_0_ts_1769095477407069445.jpg	139	1239.025146	522.998596
camera_0	camera_0_ts_1769095477407069445.jpg	141	1254.914551	627.090088
camera_0	camera_0_ts_1769095477407069445.jpg	147	1270.173828	732.802368
camera_0	camera_0_ts_1769095477407069445.jpg	149	1286.816528	841.124207
camera_0	camera_0_ts_1769095477407069445.jpg	153	1303.400757	953.377197
camera_0	camera_0_ts_1769095477407069445.jpg	159	1336.599243	403.003113
camera_0	camera_0_ts_1769095477407069445.jpg	165	1371.793945	613.610413
camera_0	camera_0_ts_1769095477407069445.jpg	169	1389.331055	723.336365
camera_0	camera_0_ts_1769095477407069445.jpg	175	1408.301147	835.168762
camera_0	camera_0_ts_1769095477407069445.jpg	177	1424.728638	950.666870
camera_0	camera_0_ts_1769095477407069445.jpg	183	1455.861938	381.968384
camera_0	camera_0_ts_1769095477407069445.jpg	187	1475.806763	488.544495
camera_0	camera_0_ts_1769095477407069445.jpg	189	1496.335693	599.958069
camera_0	camera_0_ts_1769095477407069445.jpg	195	1515.927612	712.710083
